record_id,timestamp,latitude,longitude,road_id,vehicle_count,avg_speed_kmh,vehicle_type,traffic_density,weather,visibility_m,road_condition,accident_occurred,accident_severity,alert_generated,temperature_c,humidity_pct,year,month,month_name,quarter,day,day_of_week,hour,is_weekend,time_of_day,accident_flag,alert_flag,severe_accident_flag,fatal_accident_flag,alert_success_type,traffic_density_score,traffic_flow_rate,visibility_category,region
1,2023-10-03 09:50:00,32.00471402,76.97196097,RD-285,419,90,Mixed,Medium,Fog,5663,Under Maintenance,Yes,Major,Yes,31.24,61.12,2023,10,October,Q4,3,Tuesday,9,0,Morning Peak,1,1,1,0,True Positive,2,37710,Good (>4km),North
2,2019-06-09 08:01:00,10.63273152,77.82865203,RD-384,232,104,Mixed,Very High,Rain,896,Wet,No,Not Applicable,No,48.52,33.07,2019,6,June,Q2,9,Sunday,8,1,Morning Peak,0,0,0,0,Normal Flow (True Negative),4,24128,Poor (<1km),South
3,2020-01-08 01:38:00,12.25816513,88.81018932,RD-282,339,100,Bus,Medium,Storm,9369,Under Maintenance,No,Not Applicable,No,41.96,43.97,2020,1,January,Q1,8,Wednesday,1,0,Night,0,0,0,0,Normal Flow (True Negative),2,33900,Good (>4km),South
4,2022-10-18 05:43:00,34.28995023,95.41525335,RD-128,74,63,Car,Low,Clear,2510,Slippery,Yes,Fatal,No,37.96,59.52,2022,10,October,Q4,18,Tuesday,5,0,Night,1,0,1,1,Missed Incident (False Negative),1,4662,Moderate (1-4km),North
5,2023-06-29 23:11:00,31.69899297,77.67548589,RD-49,187,73,Mixed,Low,Storm,3447,Wet,No,Not Applicable,No,24.68,48.61,2023,6,June,Q2,29,Thursday,23,0,Night,0,0,0,0,Normal Flow (True Negative),1,13651,Moderate (1-4km),North
6,2020-03-02 15:55:00,30.47145511,89.65525914,RD-237,186,45,Car,Medium,Snow,8988,Wet,No,Not Applicable,Yes,24.68,40.91,2020,3,March,Q1,2,Monday,15,0,Midday,0,1,0,0,False Alarm (False Positive),2,8370,Good (>4km),North
7,2021-12-24 18:54:00,26.0953018,95.7416618,RD-53,41,116,Bike,Medium,Clear,5567,Wet,No,Not Applicable,Yes,21.74,60.25,2021,12,December,Q4,24,Friday,18,0,Evening Peak,0,1,0,0,False Alarm (False Positive),2,4756,Good (>4km),East
8,2021-07-19 16:37:00,16.4810515,70.83698156,RD-412,348,72,Car,Medium,Storm,1814,Under Maintenance,No,Not Applicable,No,45.99,49.37,2021,7,July,Q3,19,Monday,16,0,Midday,0,0,0,0,Normal Flow (True Negative),2,25056,Moderate (1-4km),West
9,2022-12-29 09:36:00,35.10881155,83.34685653,RD-407,74,52,Truck,High,Storm,4515,Under Maintenance,No,Not Applicable,No,38.03,45.49,2022,12,December,Q4,29,Thursday,9,0,Morning Peak,0,0,0,0,Normal Flow (True Negative),3,3848,Good (>4km),North
10,2018-10-10 12:24:00,22.26419583,68.32376572,RD-72,35,65,Truck,Low,Fog,2851,Wet,No,Not Applicable,No,41.24,57.84,2018,10,October,Q4,10,Wednesday,12,0,Midday,0,0,0,0,Normal Flow (True Negative),1,2275,Moderate (1-4km),West
11,2018-08-27 23:43:00,16.1379664,91.93016289,RD-63,206,9,Bus,Low,Snow,662,Slippery,No,Not Applicable,No,20.62,38.0,2018,8,August,Q3,27,Monday,23,0,Night,0,0,0,0,Normal Flow (True Negative),1,1854,Poor (<1km),East
